order_id,date,region,category,sales_rep,units,unit_price,revenue,discount_pct
1040,2025-04-27,Europe,Laptops,L. Chen,14,1172.36,16413.04,0
1041,2025-10-11,APAC,Accessories,M. Silva,9,39.07,298.89,15
1042,2025-06-15,LATAM,Accessories,J. Okafor,35,40.3,1269.45,10
1043,2025-01-28,LATAM,Phones,R. Novak,1,887.91,887.91,0
1044,2025-03-05,LATAM,Accessories,S. Haddad,8,45.76,366.08,0
1045,2025-11-17,LATAM,Laptops,R. Novak,4,1155.69,4622.76,0
1046,2025-01-25,North America,Accessories,M. Silva,36,38.63,1390.68,0
1047,2025-08-11,Europe,Tablets,M. Silva,33,545.39,17097.98,5
1048,2025-09-08,APAC,Accessories,J. Okafor,29,40.1,1162.9,0
1049,2025-07-15,APAC,Laptops,S. Haddad,16,1223.13,19570.08,0
1050,2025-11-10,North America,Phones,S. Haddad,24,732.17,17572.08,0
1051,2025-08-08,North America,Monitors,M. Silva,11,355.56,3128.93,20
1052,2025-04-06,LATAM,Accessories,M. Silva,22,43.94,966.68,0
1053,2025-06-03,APAC,Laptops,L. Chen,36,1234.5,37775.7,15
1054,2025-01-13,APAC,Accessories,R. Novak,19,45.17,858.23,0
1055,2025-02-26,Europe,Laptops,A. Mehta,17,1164.47,15836.79,20
1056,2025-03-09,Europe,Monitors,S. Haddad,17,301.25,4609.12,10
1057,2025-09-19,LATAM,Tablets,A. Mehta,18,468.32,7165.3,15
1058,2025-03-14,North America,Tablets,A. Mehta,6,588.86,3533.16,0
1059,2025-10-28,Europe,Laptops,L. Chen,8,1232.67,9861.36,0
1060,2025-09-14,APAC,Accessories,J. Okafor,3,45.36,136.08,0
1061,2025-02-06,APAC,Laptops,J. Okafor,13,1412.09,15603.59,15
1062,2025-05-17,Europe,Tablets,M. Silva,33,567.89,18740.37,0
1063,2025-06-26,North America,Tablets,A. Mehta,1,461.99,415.79,10
1064,2025-09-07,LATAM,Phones,M. Silva,7,858.95,5110.75,15
1065,2025-07-22,LATAM,Accessories,M. Silva,33,42.41,1399.53,0
1066,2025-04-11,Europe,Phones,M. Silva,23,938.54,17269.14,20
1067,2025-03-01,North America,Tablets,M. Silva,11,467.97,4375.52,15
1068,2025-07-28,APAC,Accessories,J. Okafor,19,38.86,738.34,0
1069,2025-03-09,LATAM,Laptops,L. Chen,24,1423.17,30740.47,10
1070,2025-06-08,North America,Tablets,J. Okafor,23,488.64,11238.72,0
1071,2025-07-03,LATAM,Tablets,R. Novak,13,499.21,5191.78,20
1072,2025-01-03,APAC,Laptops,J. Okafor,26,1282.55,31678.98,5
1073,2025-01-10,APAC,Phones,A. Mehta,38,932.58,28350.43,20
1074,2025-03-22,LATAM,Tablets,S. Haddad,32,483.21,13143.31,15
1075,2025-10-21,Europe,Laptops,S. Haddad,33,1297.75,36401.89,15
1076,2025-12-26,Europe,Accessories,R. Novak,37,49.52,1465.79,20
1077,2025-01-27,Europe,Laptops,A. Mehta,3,1112.41,3337.23,0
1078,2025-02-13,LATAM,Accessories,A. Mehta,2,46.7,79.39,15
1079,2025-04-16,APAC,Laptops,M. Silva,5,1343.1,6043.95,10
1080,2025-09-03,North America,Monitors,L. Chen,5,342.19,1710.95,0
1081,2025-12-25,Europe,Phones,S. Haddad,30,818.51,23327.53,5
1082,2025-02-16,APAC,Laptops,R. Novak,13,1091.55,14190.15,0
1083,2025-06-09,APAC,Accessories,R. Novak,9,38.42,345.78,0
1084,2025-08-09,North America,Phones,S. Haddad,32,768.55,22134.24,10
1085,2025-05-15,LATAM,Monitors,A. Mehta,36,282.03,10153.08,0
1086,2025-08-01,APAC,Monitors,A. Mehta,33,353.53,11083.17,5
1087,2025-05-13,Europe,Phones,A. Mehta,38,719.21,23230.48,15
1088,2025-09-09,APAC,Phones,R. Novak,33,765.77,25270.41,0
1089,2025-12-12,Europe,Monitors,M. Silva,26,265.81,6911.06,0
1090,2025-08-22,LATAM,Monitors,L. Chen,10,302.2,2870.9,5
1091,2025-06-04,APAC,Laptops,L. Chen,22,1377.17,30297.74,0
1092,2025-04-23,North America,Tablets,L. Chen,24,469.53,10705.28,5
1093,2025-10-03,APAC,Monitors,L. Chen,4,289.6,1158.4,0
1094,2025-11-10,Europe,Phones,L. Chen,28,822.7,23035.6,0
1095,2025-06-26,LATAM,Laptops,S. Haddad,26,1405.03,32877.7,10
1096,2025-09-07,North America,Laptops,S. Haddad,27,1231.57,26601.91,20
1097,2025-03-21,APAC,Monitors,A. Mehta,36,275.34,9416.63,5
1098,2025-07-11,APAC,Tablets,L. Chen,17,524.81,8921.77,0
1099,2025-05-16,LATAM,Laptops,J. Okafor,11,1090.69,10797.83,10
1100,2025-08-18,Europe,Monitors,L. Chen,29,303.25,7914.82,10
1101,2025-04-08,North America,Phones,L. Chen,36,719.41,25898.76,0
1102,2025-06-09,Europe,Laptops,S. Haddad,27,1206.06,27679.08,15
1103,2025-09-07,LATAM,Tablets,L. Chen,4,539.7,1942.92,10
1104,2025-06-05,Europe,Laptops,L. Chen,16,1206.71,16411.26,15
1105,2025-08-14,APAC,Laptops,J. Okafor,3,1221.95,2932.68,20
1106,2025-08-19,LATAM,Laptops,A. Mehta,26,1411.34,29355.87,20
1107,2025-09-28,LATAM,Monitors,J. Okafor,7,284.31,1990.17,0
1108,2025-09-22,North America,Monitors,A. Mehta,36,335.75,12087.0,0
1109,2025-03-08,North America,Tablets,J. Okafor,17,544.58,8794.97,5
1110,2025-12-25,North America,Laptops,A. Mehta,20,1259.16,22664.88,10
1111,2025-04-13,APAC,Phones,R. Novak,1,699.57,699.57,0
1112,2025-08-09,APAC,Phones,M. Silva,34,754.75,25661.5,0
1113,2025-01-14,APAC,Laptops,A. Mehta,13,1249.37,13805.54,15
1114,2025-11-14,North America,Tablets,J. Okafor,28,608.88,17048.64,0
1115,2025-08-02,APAC,Monitors,L. Chen,26,281.92,5863.94,20
1116,2025-05-24,North America,Phones,M. Silva,13,773.68,8046.27,20
1117,2025-04-08,LATAM,Phones,L. Chen,19,723.82,12377.32,10
1118,2025-08-20,Europe,Phones,M. Silva,27,920.96,24865.92,0
1119,2025-10-05,LATAM,Laptops,J. Okafor,2,1427.79,2855.58,0
1120,2025-07-02,North America,Phones,M. Silva,29,917.95,26620.55,0
1121,2025-12-04,North America,Phones,L. Chen,13,742.64,8688.89,10
1122,2025-12-15,North America,Tablets,S. Haddad,25,594.94,14873.5,0
1123,2025-08-06,North America,Laptops,A. Mehta,18,1092.79,18686.71,5
1124,2025-02-18,Europe,Monitors,L. Chen,20,339.95,6459.05,5
1125,2025-02-02,LATAM,Phones,L. Chen,35,923.2,32312.0,0
1126,2025-06-12,LATAM,Laptops,S. Haddad,27,1155.5,26518.72,15
1127,2025-07-02,LATAM,Laptops,M. Silva,5,1363.75,6818.75,0
1128,2025-05-07,North America,Accessories,L. Chen,24,41.93,905.69,10
1129,2025-01-09,APAC,Tablets,L. Chen,1,575.89,518.3,10
1130,2025-11-03,North America,Phones,A. Mehta,31,873.03,25710.73,5
1131,2025-07-26,APAC,Monitors,M. Silva,9,349.81,3148.29,0
1132,2025-01-26,APAC,Phones,R. Novak,16,777.64,12442.24,0
1133,2025-08-12,North America,Accessories,J. Okafor,26,48.41,1258.66,0
1134,2025-07-03,North America,Monitors,R. Novak,35,293.8,9768.85,5
1135,2025-02-03,APAC,Accessories,A. Mehta,14,39.55,526.01,5
1136,2025-12-15,Europe,Phones,J. Okafor,27,810.39,18598.45,15
1137,2025-04-24,North America,Tablets,L. Chen,18,550.84,9915.12,0
1138,2025-05-24,APAC,Phones,M. Silva,16,742.69,11883.04,0
1139,2025-03-10,Europe,Tablets,A. Mehta,26,499.77,12994.02,0
1140,2025-09-17,Europe,Laptops,S. Haddad,30,1434.11,43023.3,0
1141,2025-01-16,Europe,Monitors,L. Chen,3,345.05,1035.15,0
1142,2025-02-02,Europe,Accessories,R. Novak,13,50.81,660.53,0
1143,2025-09-28,Europe,Monitors,R. Novak,17,335.57,4848.99,15
1144,2025-01-04,APAC,Phones,A. Mehta,24,780.64,18735.36,0
1145,2025-04-09,North America,Accessories,S. Haddad,14,49.25,551.6,20
1146,2025-06-14,APAC,Phones,R. Novak,20,716.17,14323.4,0
1147,2025-08-18,LATAM,Laptops,M. Silva,7,1360.94,8097.59,15
1148,2025-09-05,North America,Phones,M. Silva,18,797.81,14360.58,0
1149,2025-11-10,LATAM,Laptops,L. Chen,37,1393.89,48995.23,5
1150,2025-07-01,APAC,Phones,M. Silva,26,747.1,19424.6,0
1151,2025-07-06,LATAM,Laptops,A. Mehta,26,1279.17,33258.42,0
1152,2025-08-25,Europe,Phones,A. Mehta,4,832.68,2831.11,15
1153,2025-07-03,APAC,Accessories,J. Okafor,10,42.95,429.5,0
1154,2025-09-06,North America,Laptops,M. Silva,32,1345.08,34434.05,20
1155,2025-04-10,Europe,Laptops,M. Silva,21,1082.52,19322.98,15
1156,2025-07-03,Europe,Phones,R. Novak,26,848.22,22053.72,0
1157,2025-08-06,Europe,Laptops,M. Silva,34,1121.18,38120.12,0
1158,2025-02-05,Europe,Phones,A. Mehta,36,904.25,27670.05,15
1159,2025-01-22,APAC,Laptops,M. Silva,39,1233.4,38482.08,20
1160,2025-11-25,APAC,Monitors,L. Chen,38,286.68,10349.15,5
1161,2025-11-12,LATAM,Accessories,M. Silva,12,38.57,416.56,10
1162,2025-08-15,Europe,Monitors,R. Novak,30,341.3,8191.2,20
1163,2025-08-13,North America,Laptops,J. Okafor,23,1223.97,28151.31,0
1164,2025-08-17,North America,Laptops,S. Haddad,9,1093.34,8364.05,15
1165,2025-06-25,North America,Laptops,R. Novak,25,1307.28,26145.6,20
1166,2025-03-01,North America,Accessories,S. Haddad,8,40.87,310.61,5
1167,2025-05-26,Europe,Phones,A. Mehta,23,847.17,19484.91,0
1168,2025-03-11,APAC,Monitors,J. Okafor,17,310.21,5009.89,5
1169,2025-04-19,APAC,Accessories,R. Novak,16,42.56,680.96,0
1170,2025-04-06,LATAM,Phones,S. Haddad,18,864.2,14777.82,5
1171,2025-03-26,APAC,Laptops,R. Novak,4,1301.12,5204.48,0
1172,2025-08-18,North America,Tablets,R. Novak,26,578.54,15042.04,0
1173,2025-05-13,APAC,Accessories,J. Okafor,24,42.72,1025.28,0
1174,2025-08-08,Europe,Accessories,S. Haddad,4,42.25,152.1,10
1175,2025-05-10,APAC,Laptops,S. Haddad,3,1145.61,3436.83,0
1176,2025-10-21,LATAM,Monitors,R. Novak,24,346.79,8322.96,0
1177,2025-08-08,North America,Laptops,A. Mehta,1,1275.17,1275.17,0
1178,2025-02-17,APAC,Accessories,J. Okafor,27,46.13,1120.96,10
1179,2025-03-07,APAC,Accessories,M. Silva,11,40.07,352.62,20
1180,2025-04-23,Europe,Monitors,A. Mehta,5,322.85,1291.4,20
1181,2025-11-26,APAC,Monitors,L. Chen,1,268.72,214.98,20
1182,2025-09-12,LATAM,Accessories,R. Novak,32,41.6,1331.2,0
1183,2025-01-02,North America,Monitors,J. Okafor,16,278.31,3562.37,20
1184,2025-02-01,Europe,Phones,M. Silva,13,824.49,9110.61,15
1185,2025-09-21,LATAM,Accessories,J. Okafor,33,42.43,1400.19,0
1186,2025-11-02,LATAM,Accessories,A. Mehta,25,49.65,1055.06,15
1187,2025-08-03,LATAM,Phones,J. Okafor,7,761.31,4529.79,15
1188,2025-01-04,APAC,Tablets,S. Haddad,4,502.09,1807.52,10
1189,2025-11-14,APAC,Tablets,S. Haddad,14,472.84,5957.78,10
1190,2025-01-06,APAC,Phones,S. Haddad,13,929.4,10269.87,15
1191,2025-06-07,LATAM,Tablets,R. Novak,16,520.47,6662.02,20
1192,2025-11-23,LATAM,Monitors,R. Novak,1,343.25,326.09,5
1193,2025-12-08,APAC,Phones,M. Silva,40,840.99,30275.64,10
1194,2025-03-05,North America,Laptops,A. Mehta,7,1295.74,9070.18,0
1195,2025-06-05,North America,Laptops,A. Mehta,9,1322.23,10115.06,15
1196,2025-01-23,North America,Laptops,A. Mehta,38,1348.16,51230.08,0
1197,2025-09-22,North America,Monitors,A. Mehta,16,282.63,4522.08,0
1198,2025-01-02,North America,Tablets,M. Silva,7,480.49,2690.74,20
1199,2025-11-07,APAC,Tablets,L. Chen,28,501.31,14036.68,0
1200,2025-05-10,North America,Tablets,L. Chen,39,540.61,16867.03,20
1201,2025-05-20,North America,Monitors,A. Mehta,28,311.73,8728.44,0
1202,2025-06-16,North America,Accessories,R. Novak,14,47.89,536.37,20
1203,2025-02-19,APAC,Phones,M. Silva,1,825.79,825.79,0
1204,2025-01-01,APAC,Monitors,A. Mehta,32,328.15,8400.64,20
1205,2025-03-16,APAC,Accessories,L. Chen,37,50.99,1886.63,0
1206,2025-04-23,Europe,Monitors,J. Okafor,8,350.8,2245.12,20
1207,2025-02-16,North America,Tablets,L. Chen,7,524.01,3484.67,5
1208,2025-12-03,LATAM,Laptops,L. Chen,14,1176.18,15643.19,5
1209,2025-09-17,Europe,Monitors,S. Haddad,15,351.28,5269.2,0
1210,2025-09-20,North America,Tablets,R. Novak,21,543.52,9131.14,20
1211,2025-08-22,APAC,Phones,M. Silva,29,866.51,25128.79,0
1212,2025-10-08,Europe,Tablets,M. Silva,16,541.25,8660.0,0
1213,2025-05-25,Europe,Phones,J. Okafor,21,845.31,17751.51,0
1214,2025-03-08,APAC,Phones,L. Chen,7,737.49,4388.07,15
1215,2025-02-07,LATAM,Phones,J. Okafor,20,877.39,16670.41,5
1216,2025-05-07,North America,Laptops,L. Chen,14,1394.47,18546.45,5
1217,2025-01-01,LATAM,Monitors,S. Haddad,15,310.05,3953.14,15
1218,2025-05-15,North America,Phones,L. Chen,39,878.61,34265.79,0
1219,2025-12-08,LATAM,Accessories,R. Novak,27,49.67,1139.93,15
1220,2025-12-21,Europe,Phones,S. Haddad,8,808.66,6469.28,0
1221,2025-05-21,North America,Monitors,J. Okafor,26,329.82,7289.02,15
1222,2025-03-09,LATAM,Monitors,M. Silva,2,321.31,610.49,5
1223,2025-09-22,Europe,Tablets,A. Mehta,25,593.76,14844.0,0
1224,2025-01-09,Europe,Phones,S. Haddad,13,824.73,10721.49,0
1225,2025-10-15,Europe,Monitors,R. Novak,2,322.95,516.72,20
1226,2025-06-17,APAC,Monitors,S. Haddad,30,283.04,7217.52,15
1227,2025-03-13,North America,Accessories,L. Chen,4,41.66,158.31,5
1228,2025-07-02,North America,Laptops,M. Silva,27,1298.21,29793.92,15
1229,2025-06-19,APAC,Laptops,J. Okafor,20,1340.55,24129.9,10
1230,2025-04-26,LATAM,Monitors,J. Okafor,11,275.52,2424.58,20
1231,2025-02-26,Europe,Monitors,S. Haddad,36,330.53,9519.26,20
1232,2025-03-12,LATAM,Monitors,L. Chen,36,323.91,9328.61,20
1233,2025-08-12,Europe,Tablets,S. Haddad,25,570.37,13546.29,5
1234,2025-11-06,LATAM,Laptops,S. Haddad,18,1196.74,18310.12,15
1235,2025-05-11,LATAM,Monitors,M. Silva,40,322.77,10974.18,15
1236,2025-06-05,APAC,Monitors,A. Mehta,6,340.49,2042.94,0
1237,2025-03-17,APAC,Accessories,A. Mehta,1,41.08,41.08,0
1238,2025-11-10,APAC,Accessories,A. Mehta,38,40.18,1526.84,0
1239,2025-03-25,LATAM,Tablets,J. Okafor,14,605.46,6781.15,20
1240,2025-09-06,North America,Accessories,S. Haddad,20,40.91,695.47,15
1241,2025-04-17,North America,Monitors,S. Haddad,8,315.12,2520.96,0
1242,2025-07-08,Europe,Monitors,M. Silva,36,268.94,9197.75,5
1243,2025-03-23,LATAM,Phones,M. Silva,11,829.73,7301.62,20
1244,2025-12-01,Europe,Tablets,M. Silva,37,539.61,19965.57,0
1245,2025-08-12,LATAM,Monitors,S. Haddad,5,280.29,1401.45,0
1246,2025-11-21,North America,Laptops,R. Novak,3,1318.47,3955.41,0
1247,2025-02-17,LATAM,Monitors,J. Okafor,3,283.34,807.52,5
1248,2025-11-05,APAC,Laptops,S. Haddad,24,1190.49,22857.41,20
1249,2025-09-18,Europe,Tablets,M. Silva,22,527.43,10443.11,10
1250,2025-01-27,APAC,Tablets,L. Chen,32,524.4,15102.72,10
1251,2025-05-28,APAC,Phones,S. Haddad,32,891.82,28538.24,0
1252,2025-04-11,APAC,Phones,R. Novak,6,889.92,5339.52,0
1253,2025-07-24,LATAM,Accessories,R. Novak,4,43.63,174.52,0
1254,2025-01-02,Europe,Monitors,R. Novak,4,336.88,1212.77,10
1255,2025-10-13,Europe,Accessories,S. Haddad,6,41.12,209.71,15
1256,2025-11-15,Europe,Laptops,S. Haddad,12,1388.45,15828.33,5
1257,2025-02-21,North America,Tablets,J. Okafor,20,550.06,11001.2,0
1258,2025-05-06,LATAM,Laptops,L. Chen,2,1224.0,2080.8,15
1259,2025-10-02,LATAM,Accessories,R. Novak,3,49.38,118.51,20
1260,2025-07-19,LATAM,Monitors,A. Mehta,1,326.74,294.07,10
1261,2025-10-22,Europe,Monitors,M. Silva,36,272.99,8353.49,15
1262,2025-08-07,Europe,Laptops,M. Silva,1,1066.0,906.1,15
1263,2025-02-28,North America,Phones,A. Mehta,9,813.19,7318.71,0
1264,2025-12-19,Europe,Monitors,S. Haddad,12,349.32,4191.84,0
1265,2025-12-23,Europe,Laptops,L. Chen,36,1328.46,45433.33,5
1266,2025-11-09,North America,Laptops,A. Mehta,4,1068.02,3631.27,15
1267,2025-11-27,North America,Monitors,L. Chen,20,331.34,6626.8,0
1268,2025-08-20,North America,Tablets,L. Chen,37,576.9,20278.03,5
1269,2025-11-06,Europe,Laptops,L. Chen,11,1298.64,13570.79,5
1270,2025-08-13,LATAM,Tablets,R. Novak,22,506.37,11140.14,0
1271,2025-10-21,APAC,Accessories,S. Haddad,1,49.47,44.52,10
1272,2025-05-19,LATAM,Phones,M. Silva,25,865.47,19473.08,10
1273,2025-04-26,LATAM,Tablets,S. Haddad,1,511.09,511.09,0
1274,2025-07-06,North America,Tablets,J. Okafor,37,482.81,14291.18,20
1275,2025-09-22,LATAM,Tablets,R. Novak,6,546.48,3114.94,5
1276,2025-07-07,Europe,Tablets,R. Novak,4,568.78,2161.36,5
1277,2025-12-07,APAC,Accessories,A. Mehta,25,44.46,1111.5,0
1278,2025-09-26,APAC,Laptops,J. Okafor,26,1279.85,33276.1,0
1279,2025-09-11,LATAM,Accessories,R. Novak,13,40.8,530.4,0
1280,2025-02-06,APAC,Tablets,R. Novak,37,517.14,15307.34,20
1281,2025-09-28,Europe,Phones,A. Mehta,32,789.01,25248.32,0
1282,2025-06-21,LATAM,Laptops,J. Okafor,21,1286.45,27015.45,0
1283,2025-05-17,North America,Laptops,A. Mehta,14,1433.9,16059.68,20
1284,2025-10-16,Europe,Tablets,L. Chen,28,474.73,12627.82,5
1285,2025-10-27,Europe,Tablets,A. Mehta,22,491.56,10814.32,0
1286,2025-07-03,North America,Laptops,A. Mehta,36,1201.11,36753.97,15
1287,2025-08-16,North America,Accessories,S. Haddad,26,50.7,1120.47,15
1288,2025-02-09,APAC,Accessories,J. Okafor,6,51.16,260.92,15
1289,2025-09-13,Europe,Monitors,J. Okafor,24,353.32,7207.73,15
1290,2025-04-06,North America,Tablets,L. Chen,4,605.25,2421.0,0
1291,2025-01-09,LATAM,Laptops,A. Mehta,10,1181.63,11816.3,0
1292,2025-04-22,APAC,Accessories,R. Novak,29,48.48,1405.92,0
1293,2025-08-11,APAC,Tablets,M. Silva,8,519.75,3950.1,5
1294,2025-03-15,Europe,Phones,S. Haddad,1,812.1,812.1,0
1295,2025-01-06,Europe,Laptops,R. Novak,24,1395.77,33498.48,0
1296,2025-08-04,LATAM,Laptops,S. Haddad,5,1232.13,6160.65,0
1297,2025-06-27,Europe,Monitors,A. Mehta,24,276.78,6642.72,0
1298,2025-12-02,Europe,Monitors,R. Novak,10,304.32,3043.2,0
1299,2025-05-14,LATAM,Phones,J. Okafor,2,763.69,1221.9,20
1300,2025-05-11,Europe,Tablets,M. Silva,7,510.53,3395.02,5
1301,2025-02-05,North America,Phones,R. Novak,31,902.48,27976.88,0
1302,2025-05-25,Europe,Tablets,M. Silva,17,620.69,10551.73,0
1303,2025-02-13,APAC,Monitors,J. Okafor,4,340.91,1363.64,0
1304,2025-03-21,North America,Monitors,R. Novak,22,311.0,6499.9,5
1305,2025-01-26,APAC,Phones,L. Chen,28,706.97,18805.4,5
1306,2025-04-09,Europe,Phones,J. Okafor,34,886.53,25620.72,15
1307,2025-03-07,North America,Laptops,R. Novak,32,1347.98,43135.36,0
1308,2025-04-05,Europe,Accessories,L. Chen,13,38.39,424.21,15
1309,2025-12-17,LATAM,Laptops,R. Novak,23,1188.21,21863.06,20
1310,2025-11-28,LATAM,Laptops,A. Mehta,27,1403.83,36008.24,5
1311,2025-03-28,APAC,Phones,J. Okafor,37,901.58,33358.46,0
1312,2025-01-06,APAC,Accessories,R. Novak,1,43.06,40.91,5
1313,2025-09-03,North America,Tablets,S. Haddad,16,591.28,7568.38,20
1314,2025-06-25,LATAM,Accessories,A. Mehta,19,50.03,807.98,15
1315,2025-08-15,North America,Accessories,R. Novak,9,38.53,346.77,0
1316,2025-04-20,Europe,Phones,A. Mehta,20,758.61,12137.76,20
1317,2025-01-01,North America,Phones,L. Chen,2,902.98,1535.07,15
1318,2025-10-15,Europe,Monitors,A. Mehta,23,344.37,6732.43,15
1319,2025-03-02,APAC,Laptops,M. Silva,32,1282.21,32824.58,20
1320,2025-05-04,North America,Laptops,M. Silva,9,1265.6,11390.4,0
1321,2025-04-05,LATAM,Monitors,J. Okafor,2,350.7,666.33,5
1322,2025-12-14,North America,Monitors,A. Mehta,24,294.99,7079.76,0
1323,2025-06-23,LATAM,Accessories,L. Chen,26,49.69,1291.94,0
1324,2025-06-17,Europe,Tablets,J. Okafor,28,566.43,15860.04,0
1325,2025-06-04,Europe,Laptops,L. Chen,28,1137.79,27079.4,15
1326,2025-01-08,Europe,Monitors,M. Silva,30,322.39,7737.36,20
1327,2025-01-02,APAC,Accessories,L. Chen,35,49.14,1719.9,0
1328,2025-10-04,APAC,Laptops,R. Novak,1,1225.13,1225.13,0
1329,2025-05-04,APAC,Tablets,S. Haddad,11,478.5,4737.15,10
1330,2025-09-09,North America,Monitors,R. Novak,35,350.17,11643.15,5
1331,2025-02-17,Europe,Tablets,M. Silva,37,505.71,18711.27,0
1332,2025-12-03,APAC,Monitors,R. Novak,37,284.11,9986.47,5
1333,2025-04-18,APAC,Monitors,R. Novak,20,320.49,6089.31,5
1334,2025-05-01,Europe,Tablets,J. Okafor,13,542.02,6693.95,5
1335,2025-10-13,North America,Tablets,J. Okafor,16,511.48,8183.68,0
1336,2025-08-09,APAC,Phones,L. Chen,4,886.94,3547.76,0
1337,2025-09-03,APAC,Monitors,S. Haddad,4,311.58,997.06,20
1338,2025-08-12,North America,Accessories,J. Okafor,10,43.88,372.98,15
1339,2025-06-05,Europe,Accessories,R. Novak,18,49.34,799.31,10
1340,2025-02-24,LATAM,Tablets,S. Haddad,9,525.91,4733.19,0
1341,2025-01-14,North America,Monitors,M. Silva,37,277.42,8211.63,20
1342,2025-05-28,North America,Monitors,M. Silva,30,290.29,8708.7,0
1343,2025-05-12,LATAM,Accessories,R. Novak,39,43.44,1694.16,0
1344,2025-01-26,LATAM,Monitors,M. Silva,20,280.63,5612.6,0
1345,2025-03-14,LATAM,Accessories,J. Okafor,6,49.34,296.04,0
1346,2025-06-27,Europe,Tablets,J. Okafor,28,603.38,16894.64,0
1347,2025-01-02,APAC,Accessories,M. Silva,20,50.67,810.72,20
1348,2025-05-18,LATAM,Accessories,R. Novak,28,43.51,1218.28,0
1349,2025-01-20,APAC,Monitors,A. Mehta,5,312.35,1561.75,0
1350,2025-07-12,LATAM,Accessories,R. Novak,10,50.13,476.24,5
1351,2025-08-13,LATAM,Accessories,R. Novak,22,47.59,889.93,15
1352,2025-02-06,APAC,Tablets,L. Chen,5,592.82,2667.69,10
1353,2025-03-04,APAC,Tablets,R. Novak,27,561.24,13638.13,10
1354,2025-05-27,Europe,Accessories,J. Okafor,27,40.71,934.29,15
1355,2025-10-20,North America,Tablets,R. Novak,3,571.06,1713.18,0
1356,2025-01-10,North America,Tablets,M. Silva,7,553.96,3296.06,15
1357,2025-01-07,Europe,Monitors,R. Novak,37,288.24,9065.15,15
1358,2025-09-17,Europe,Accessories,J. Okafor,27,46.37,1251.99,0
1359,2025-03-17,North America,Laptops,A. Mehta,5,1126.45,5069.03,10
1360,2025-08-27,LATAM,Accessories,M. Silva,4,47.03,159.9,15
1361,2025-10-11,Europe,Phones,L. Chen,18,738.68,13296.24,0
1362,2025-11-04,North America,Tablets,J. Okafor,29,560.09,16242.61,0
1363,2025-01-08,LATAM,Accessories,A. Mehta,29,38.99,1130.71,0
